"id","assemblyline","machineId","category","sub_category","andon_alerts","andon_acknowledge","andon_resolved","total_time","alert_shift","company","location","shopfloor","repair_time","response_time"
56,"CHANNEL T3","SGB1054","MAINTENANCE",NULL,"2023-10-27 11:27:33","2023-10-27 11:53:32","2023-10-27 12:07:33","0:40:00","FS","SKF","PUNE","TRB BEARING","0:14:01","0:25:59"
57,"CHANNEL T3","SGB1054","MAINTENANCE",NULL,"2023-10-27 12:11:33","2023-10-27 12:12:13","2023-10-27 12:20:53","0:09:20","FS","SKF","PUNE","TRB BEARING","0:08:40","0:00:40"
58,"CHANNEL T3","SFP978","MAINTENANCE",NULL,"2023-10-27 15:52:10","2023-10-28 07:37:35","2023-10-28 07:38:19","15:46:09","SS","SKF","PUNE","TRB BEARING","0:00:44","15:45:25"
59,"CHANNEL T3","SFP978","RESETTING",NULL,"2023-10-27 16:03:29","2023-10-28 07:37:35","2023-10-28 07:38:19","15:34:50","SS","SKF","PUNE","TRB BEARING","0:00:44","15:34:06"
60,"CHANNEL T3","SGB1054","MAINTENANCE",NULL,"2023-10-28 07:22:59","2023-10-28 07:27:22","2023-10-28 07:29:11","0:06:12","FS","SKF","PUNE","TRB BEARING","0:01:49","0:04:23"
61,"CHANNEL T3","SGB1054","RESETTING",NULL,"2023-10-28 07:23:42","2023-10-28 07:27:00","2023-10-28 07:29:11","0:05:29","FS","SKF","PUNE","TRB BEARING","0:02:11","0:03:18"
62,"CHANNEL T3","SGB1054","MAINTENANCE",NULL,"2023-10-28 11:56:36","2023-10-28 12:07:15","2023-10-28 12:57:08","1:00:32","FS","SKF","PUNE","TRB BEARING","0:49:53","0:10:39"
63,"CHANNEL T3","SGB1054","MAINTENANCE",NULL,"2023-10-30 10:33:07","2023-10-30 10:36:26","2023-10-30 10:39:07","0:06:00","FS","SKF","PUNE","TRB BEARING","0:02:41","0:03:19"
64,"CHANNEL T3","SGB1054","MAINTENANCE",NULL,"2023-10-31 07:09:58",NULL,NULL,NULL,"FS","SKF","PUNE","TRB BEARING",NULL,NULL
65,"CHANNEL T3","SGB1054","MAINTENANCE",NULL,"2023-10-31 07:34:07",NULL,NULL,NULL,"FS","SKF","PUNE","TRB BEARING",NULL,NULL
66,"CHANNEL T3","SGB1054","MAINTENANCE",NULL,"2023-10-31 19:34:09",NULL,NULL,NULL,"SS","SKF","PUNE","TRB BEARING",NULL,NULL
